Company,Funding,Employee Growth,,
ZeroFOX,154200000,21,,
PlanetScale,105000000,61,,
Iteris,6500000,4,,
tinyBuild GAMES,18800000,61,,
Sayari Labs,94700000,60,,
Level Home,171000000,146,,
Marriott Vacations Worldwide,1100000,9,,
Sitetracker,87000000,29,,
Veriff,192300000,61,,
Finix,96000000,48,,
AlayaCare,293400000,43,,
Sana Benefits,46800000,56,,
,,,,
Aviatrix,340800000,130,,
Arkose Labs,106500000,39,,
Capacity,61500000,40,,
Uptycs,93000000,56,,
Nayya,50700000,141,,
Pure Watercraft,39600000,25,,
YieldStreet,328500000,96,,
Kraken Digital Asset Exchange,136100000,25,,
Verana Health,288800000,68,,
MetaMask,275000000,123,,
Wiz,600000000,339,,
,,,,
Legacy,20200000,51,,
Gala Games,100000000,309,,
Empowerly,12000000,136,,
Spendesk,311800000,53,,
7shifts,131000000,93,,
Cross River,908000000,49,,
commercetools,308100000,66,,
Simpli.fi,22800000,37,,
PLACE,100000000,121,,
Resource Label Group,159000000,50,,
StockTwits,43200000,48,,
PayFit,495800000,45,,
Flipdish,157100000,32,,
Rheaply,12800000,47,,
Deep Instinct,259100000,46,,
Humane,130000000,161,,
Measurabl,79600000,132,,
Overjet,77400000,218,,
Abacum,32000000,218,,
Volocopter,598600000,62,,
Form Energy,368800000,123,,
Narmi,20500000,131,,
Malta,86900000,230,,
